,D2002,D2003,D2004,D2005,D2006,D2007,D2008,D2009,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017,D2018,D2019,D2020,D2021,D2022,D2023,D2024,D2025,D2026,D2027,D2028,D2029,D2030,D2031,age,voted
7982,1,4,1,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,1,3,1,0,2,2,1298,999,2,3,999,9,47,TRUE
7983,2,4,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,7,2,99,0,3,3,1101,999,2,3,999,9,52,TRUE
7984,2,4,1,2,2,2,2,2,8,999,9,9,9,1,999,9,1,3,5,2,99,0,1,2,1101,999,2,1,999,9,46,TRUE
7985,2,3,4,2,2,2,2,2,5,999,9,9,9,99,999,9,9,9,8,4,99,0,6,2,1101,999,2,3,999,9,30,TRUE
7986,1,8,4,2,2,2,2,2,1,999,9,5,3,99,999,9,9,9,8,2,99,0,6,4,1101,999,2,3,999,9,79,TRUE
7987,1,4,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,3,2,99,0,2,2,1101,999,2,3,999,9,38,TRUE
7988,1,8,4,2,2,2,2,2,1,999,9,5,3,99,999,9,9,9,5,1,99,0,1,1,8300,999,2,2,999,9,45,TRUE
7989,1,3,1,2,2,2,2,2,7,999,9,9,9,8,999,9,9,9,7,2,99,0,6,4,1298,999,2,2,999,9,80,TRUE
7990,1,4,1,7,7,7,7,7,1,999,9,2,2,8,999,9,9,9,8,2,99,0,3,1,1101,999,2,3,999,9,39,TRUE
7991,1,4,1,2,2,2,2,2,1,999,9,5,2,1,999,9,5,3,1,3,1,0,2,2,1101,999,2,2,999,9,70,TRUE
7992,1,4,1,2,2,2,2,2,1,999,9,2,3,1,999,9,5,3,7,5,3,0,4,3,1101,999,2,3,999,9,57,TRUE
7993,1,4,4,2,2,2,2,2,5,999,9,9,9,99,999,9,9,9,7,3,99,0,3,2,1101,999,2,1,999,9,29,TRUE
7994,2,3,1,2,2,2,2,2,7,999,9,9,9,1,999,9,2,3,7,5,3,2,4,3,1101,999,2,3,999,9,37,TRUE
7995,2,2,1,2,2,2,2,2,1,999,9,2,2,1,999,9,2,3,8,3,99,0,4,3,1101,999,2,3,999,9,37,TRUE
7996,2,1,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,3,2,4,99,0,6,3,1101,999,2,3,999,9,54,TRUE
7997,1,4,4,2,2,2,2,2,1,999,9,5,3,99,999,9,9,9,1,1,99,0,2,2,1101,999,2,3,999,9,43,TRUE
7998,2,3,2,2,2,2,2,2,7,999,9,9,9,99,999,9,9,9,2,4,1,0,4,2,1298,999,2,3,999,9,84,TRUE
7999,1,3,4,2,2,2,2,2,9,999,9,9,9,99,999,9,9,9,1,1,99,0,2,2,1101,999,2,3,999,9,38,FALSE
8000,2,7,2,8,8,8,8,8,1,999,9,1,3,99,999,9,9,9,1,7,99,0,6,4,1298,999,2,3,999,9,61,TRUE
8002,1,96,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,2,4,2,0,2,2,1101,999,2,3,999,9,53,FALSE
8003,2,4,1,2,2,2,2,2,1,999,9,1,3,1,999,9,2,3,5,4,1,0,2,3,1101,999,2,3,999,9,51,TRUE
8004,2,2,1,2,2,2,2,2,1,999,9,5,3,7,999,9,9,9,1,2,99,0,6,4,1101,999,2,1,999,9,68,TRUE
8005,2,2,1,2,2,2,2,2,8,999,9,9,9,7,999,9,9,9,1,5,99,0,6,3,1298,999,2,3,999,9,54,TRUE
8006,1,1,4,2,2,2,2,2,9,999,9,9,9,99,999,9,9,9,1,1,99,0,6,4,1298,999,2,3,999,9,49,TRUE
8007,2,4,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,2,1,5,3,2,6,4,1298,999,2,3,999,9,39,TRUE
8008,1,3,1,2,2,2,2,2,1,999,9,5,3,8,999,9,9,9,2,2,99,0,2,3,1298,999,2,4,999,9,33,TRUE
8009,2,4,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,2,4,99,0,6,3,1298,999,2,3,999,9,29,TRUE
8010,1,1,4,2,2,2,2,2,9,999,9,9,9,99,999,9,9,9,1,1,99,0,1,2,1101,999,2,3,999,9,52,TRUE
8011,2,2,1,2,2,2,2,2,7,999,9,9,9,7,999,9,9,9,2,3,1,0,4,2,1101,999,2,3,999,9,49,TRUE
8012,2,4,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,2,8,4,2,1,6,2,1101,999,2,3,999,9,35,TRUE
8013,2,3,1,2,2,2,2,2,1,999,9,2,3,7,999,9,9,9,2,2,99,0,6,3,1298,999,2,3,999,9,54,TRUE
8014,2,4,4,2,2,2,2,2,6,999,9,9,9,99,999,9,9,9,3,3,99,0,6,3,1101,999,2,2,999,9,26,FALSE
8015,1,2,1,2,2,2,2,2,7,999,9,9,9,7,999,9,9,9,2,2,99,0,6,3,1101,999,2,1,999,9,76,TRUE
8018,2,2,4,2,2,2,2,2,8,999,9,9,9,1,999,9,2,2,2,8,5,3,2,2,1101,999,2,3,999,9,48,TRUE
8019,2,4,4,2,2,2,2,2,8,999,9,9,9,1,999,9,2,3,1,3,1,1,8,8,1101,999,2,3,999,9,34,TRUE
8020,2,2,1,2,2,2,2,2,8,999,9,9,9,7,999,9,9,9,1,3,99,0,2,8,1101,999,2,3,999,9,63,TRUE
8021,2,7,1,2,2,2,2,2,1,999,9,1,3,1,999,9,5,3,3,4,2,1,6,8,1101,999,2,1,999,9,37,TRUE
8022,1,2,4,2,2,2,2,2,1,999,9,5,1,8,999,9,9,9,1,2,99,0,2,2,1101,999,2,3,999,9,29,TRUE
8023,2,3,4,2,2,2,2,2,1,999,9,5,3,1,999,9,2,3,1,4,1,0,2,3,1101,999,2,3,999,9,55,TRUE
8024,2,3,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,1,3,99,0,3,2,1101,999,2,3,999,9,25,FALSE
8026,1,2,4,1,2,2,2,2,1,999,9,5,2,8,999,9,9,9,2,3,99,0,2,3,1101,999,2,1,999,9,60,TRUE
8027,1,3,4,2,2,2,2,2,1,999,9,2,3,8,999,9,9,9,1,4,1,1,1,1,1101,999,2,3,999,9,35,TRUE
8029,2,4,4,2,2,2,2,2,6,999,9,9,9,1,999,9,5,1,1,6,3,1,6,4,1101,999,2,1,999,9,28,TRUE
8030,1,3,4,2,2,2,2,2,5,999,9,9,9,8,999,9,9,9,1,3,99,0,6,3,1101,999,2,3,999,9,44,TRUE
8031,1,4,1,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,2,2,99,0,1,1,1101,999,2,4,999,9,39,TRUE
8032,2,1,3,2,2,2,2,1,1,999,9,5,3,99,999,9,9,9,1,3,2,0,2,3,1101,999,2,3,999,9,59,TRUE
8033,1,96,1,2,2,2,2,2,1,999,9,5,1,1,999,9,5,1,1,2,99,0,3,3,1101,999,2,997,999,9,69,TRUE
8034,1,2,4,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,2,4,1,1,4,3,1101,999,2,3,999,9,38,TRUE
8035,2,3,1,2,2,2,2,2,1,999,9,2,2,1,999,9,5,3,2,5,2,1,3,3,1101,999,2,1,999,9,50,TRUE
8037,2,7,4,2,2,2,2,2,6,999,9,9,9,7,999,9,9,9,1,3,1,0,2,2,1101,999,2,1,999,9,31,TRUE
8038,1,4,4,2,2,2,2,2,6,999,9,9,9,1,999,9,2,2,1,3,99,0,1,1,1101,999,2,1,999,9,31,TRUE
8039,2,3,4,2,2,2,2,2,8,999,9,9,9,1,999,9,5,1,8,4,99,0,2,3,1101,999,2,1,999,9,41,TRUE
8040,1,2,1,2,2,2,2,2,1,999,9,1,3,1,999,9,5,3,2,4,99,0,4,3,1101,999,2,3,999,9,57,TRUE
8041,2,96,1,2,2,2,2,2,7,999,9,9,9,7,999,9,9,9,1,6,2,0,6,3,1101,999,2,1,999,9,71,TRUE
8042,2,4,4,2,2,2,2,2,8,999,9,9,9,1,999,9,1,3,2,6,99,0,2,3,1101,999,2,1,999,9,35,TRUE
8043,1,4,1,2,2,2,2,2,1,999,9,1,3,8,999,9,9,9,3,2,99,0,6,3,1101,999,2,3,999,9,46,TRUE
8044,1,3,4,2,2,2,2,2,1,999,9,5,3,8,999,9,9,9,3,5,1,1,2,3,1101,999,2,1,999,9,50,TRUE
8045,1,2,1,2,2,2,2,2,1,999,9,5,2,7,999,9,9,9,1,5,99,0,2,3,1298,999,2,2,999,9,72,TRUE
8046,2,8,1,2,2,2,2,2,1,999,9,1,3,1,999,9,5,3,7,4,99,0,6,4,1101,999,2,3,999,9,54,TRUE
8047,2,4,1,2,2,2,2,2,1,999,9,5,3,1,999,9,2,1,8,3,1,0,3,2,1101,999,2,3,999,9,37,TRUE
8048,2,96,1,2,2,2,2,2,1,999,9,6,3,1,999,9,2,1,2,4,2,0,6,3,1101,999,2,998,999,9,37,TRUE
8049,2,2,4,2,2,2,2,2,7,999,9,9,9,99,999,9,9,9,1,1,99,0,4,3,1101,999,2,3,999,9,74,TRUE
8050,1,3,1,2,2,2,2,2,1,999,9,2,2,6,999,9,9,9,8,8,2,0,1,1,8300,999,2,3,999,9,24,FALSE
8051,1,96,4,2,2,2,2,2,1,999,9,5,1,99,999,9,9,9,1,1,99,0,2,1,1101,999,2,5,999,9,66,TRUE
8053,1,4,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,3,5,1,0,6,3,1101,999,2,1,999,9,30,TRUE
8054,2,4,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,1,3,1,0,4,3,1101,999,2,3,999,9,47,TRUE
8055,1,2,1,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,1,5,6,3,2,1,1101,999,2,3,999,9,40,TRUE
8056,1,1,1,2,2,2,2,2,5,999,9,9,9,1,999,9,5,3,1,4,4,2,1,1,8300,999,2,3,999,9,61,TRUE
8058,1,3,4,2,2,2,2,2,1,999,9,5,3,99,999,9,9,9,2,6,2,0,2,2,8300,999,2,1,999,9,38,TRUE
8059,2,2,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,3,1,2,1,1,4,2,1101,999,2,1,999,9,31,TRUE
8060,2,1,4,1,2,2,2,2,1,999,9,5,8,99,999,9,9,9,1,4,2,0,3,2,1101,999,2,5,999,9,63,FALSE
8061,2,2,1,2,2,2,2,2,8,999,9,9,9,5,999,9,9,9,1,3,1,1,2,2,1101,999,2,3,999,9,42,TRUE
8063,2,7,4,1,1,2,2,2,1,999,9,1,2,99,999,9,9,9,3,3,1,0,6,2,1101,999,2,3,999,9,55,TRUE
8064,2,4,4,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,1,5,99,0,6,2,1101,999,2,3,999,9,27,FALSE
8065,1,2,1,1,2,2,2,2,1,999,9,5,1,97,999,9,9,9,1,3,99,0,2,1,1101,999,2,3,999,9,30,TRUE
8066,1,2,1,2,2,2,2,2,1,999,9,5,1,1,999,9,5,1,4,4,99,0,4,2,1101,999,2,3,999,9,57,TRUE
8068,1,4,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,2,3,1,0,3,2,1101,999,2,3,999,9,40,TRUE
8069,2,2,1,1,2,2,2,2,8,999,9,9,9,8,999,9,9,9,1,3,1,0,2,2,1101,999,2,1,999,9,47,TRUE
8070,1,4,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,2,3,1,0,4,2,1101,999,2,1,999,9,44,TRUE
8071,2,4,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,2,5,2,0,6,3,1298,999,2,1,999,9,39,TRUE
8072,2,4,4,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,3,4,1,0,2,3,1101,999,2,1,999,9,38,TRUE
8073,1,96,4,2,2,2,2,2,5,999,9,9,9,99,999,9,9,9,1,3,99,0,2,2,1101,999,2,2,999,9,62,TRUE
8074,2,2,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,2,4,99,0,3,3,1101,999,2,3,999,9,55,TRUE
8075,1,2,1,2,2,2,2,2,1,999,9,2,3,8,999,9,9,9,2,3,99,0,4,2,1101,999,2,3,999,9,68,TRUE
8076,1,4,4,2,2,2,2,2,1,999,9,5,2,99,999,9,9,9,1,5,2,1,3,3,1101,999,2,3,999,9,27,TRUE
8077,1,4,3,2,2,2,2,2,1,999,9,5,3,1,999,9,2,3,2,5,99,0,3,8,8300,999,2,3,999,9,37,TRUE
8079,2,4,4,2,2,2,2,2,6,999,9,9,9,99,999,9,9,9,2,4,1,0,6,4,1101,999,2,3,999,9,25,FALSE
8080,2,4,4,2,2,2,2,2,1,999,9,5,3,1,999,9,2,3,1,3,99,0,2,3,1101,999,2,2,999,9,49,TRUE
8081,1,2,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,2,3,99,0,6,2,1101,999,2,3,999,9,47,TRUE
8082,2,2,1,2,2,2,2,2,1,999,9,5,3,5,999,9,9,9,1,4,2,0,2,3,1101,999,2,3,999,9,35,TRUE
8083,1,3,4,2,2,2,2,2,10,999,9,9,9,99,999,9,9,9,2,4,2,1,2,1,1101,999,2,3,999,9,24,FALSE
8084,1,4,1,2,2,2,2,2,1,999,9,5,2,1,999,9,5,2,2,5,2,0,2,3,1101,999,2,3,999,9,45,TRUE
8085,2,4,1,2,2,2,2,2,1,999,9,5,3,1,999,9,2,2,2,2,99,0,4,2,1101,999,2,3,999,9,31,TRUE
8086,1,1,1,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,3,7,1,1,2,3,1101,999,2,1,999,9,58,TRUE
8087,2,1,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,2,2,8,5,1,3,3,1101,999,2,3,999,9,53,TRUE
8088,1,3,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,1,3,1,0,4,2,1101,999,2,3,999,9,60,TRUE
8089,2,3,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,1,4,1,0,3,2,1101,999,2,3,999,9,35,TRUE
8090,2,1,4,2,2,2,2,2,10,999,9,9,9,99,999,9,9,9,1,7,4,0,2,3,1101,999,2,3,999,9,44,TRUE
8091,1,96,1,2,1,2,2,2,1,999,9,5,3,10,999,9,9,9,2,7,3,0,1,2,8300,999,2,2,999,9,62,FALSE
8092,1,3,1,1,1,1,1,2,1,999,9,2,3,4,999,9,5,3,5,6,2,1,3,2,1101,999,2,3,999,9,41,TRUE
8093,2,96,3,2,2,2,2,2,9,999,9,9,9,99,999,9,9,9,3,5,3,2,4,3,1101,999,2,2,999,9,76,TRUE
8094,2,3,1,1,1,2,2,1,1,999,9,1,3,1,999,9,5,3,5,3,99,0,3,2,1101,999,2,2,999,9,56,TRUE
8095,1,2,4,2,1,2,2,2,1,999,9,5,2,99,999,9,9,9,5,4,1,1,1,4,1101,999,2,3,999,9,26,FALSE
8096,2,2,1,1,1,2,1,2,1,999,9,5,1,1,999,9,5,1,1,6,2,0,4,4,1298,999,2,2,999,9,67,TRUE
8097,1,96,1,1,1,2,2,2,1,999,9,5,1,1,999,9,5,1,1,5,3,1,6,4,1101,999,2,2,999,9,47,TRUE
8098,2,2,1,2,2,2,2,2,10,999,9,9,9,1,999,9,5,1,1,4,2,2,2,2,8300,999,2,3,999,9,34,TRUE
8099,1,2,4,2,1,2,2,2,5,999,9,9,9,99,999,9,9,9,2,2,99,0,4,2,1101,999,2,3,999,9,39,FALSE
8100,1,1,1,2,1,2,2,2,9,999,9,9,9,1,999,9,5,2,2,8,2,0,4,3,1101,999,2,998,999,9,79,TRUE
8101,2,3,4,2,2,2,2,2,1,999,9,2,2,99,999,9,9,9,2,4,99,0,2,2,8300,999,2,1,999,9,29,TRUE
8102,2,7,1,2,1,1,2,2,1,999,9,1,3,1,999,9,5,3,8,4,2,1,2,2,1101,999,2,3,999,9,42,TRUE
8103,1,96,1,2,2,2,2,2,1,999,9,5,1,1,999,9,5,1,8,3,99,0,3,3,1101,999,2,3,999,9,83,TRUE
8104,2,4,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,8,4,99,0,2,2,1101,999,2,1,999,9,28,TRUE
8105,1,4,4,2,2,2,2,2,1,999,9,1,3,99,999,9,9,9,8,4,99,0,2,2,1101,999,2,1,999,9,36,TRUE
8106,1,1,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,5,3,1,0,2,2,1101,999,2,3,999,9,58,TRUE
8107,2,4,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,3,1,3,1,1,2,2,1298,999,2,3,999,9,37,TRUE
8108,2,8,1,1,2,2,2,2,1,999,9,1,3,1,999,9,5,3,8,3,1,1,3,3,1101,999,2,2,999,9,39,TRUE
8109,2,1,1,1,2,2,2,2,1,999,9,5,1,1,999,9,1,3,3,4,1,1,4,2,1101,999,2,5,999,9,57,TRUE
8110,2,2,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,2,2,3,1,0,6,3,1298,999,2,2,999,9,46,TRUE
8111,2,2,1,1,2,1,2,2,1,999,9,5,3,1,999,9,5,3,1,2,99,0,6,3,1298,999,2,3,999,9,67,TRUE
8112,2,96,2,1,2,2,2,2,7,999,9,9,9,99,999,9,9,9,1,2,99,0,4,4,1101,999,2,3,999,9,82,TRUE
8113,1,4,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,2,3,1,0,2,3,8300,999,2,2,999,9,39,TRUE
8115,1,3,1,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,1,5,99,0,2,4,1298,999,2,2,999,9,29,FALSE
8116,2,4,2,1,2,2,2,2,1,999,9,1,3,99,999,9,9,9,5,2,99,0,4,2,1101,999,2,3,999,9,61,TRUE
8117,2,4,1,2,1,2,2,2,8,999,9,9,9,1,999,9,2,3,3,8,5,1,4,2,1298,999,2,3,999,9,41,TRUE
8118,2,1,2,2,2,2,2,2,7,999,9,9,9,99,999,9,9,9,2,2,99,0,4,4,1101,999,2,3,999,9,76,TRUE
8119,1,4,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,2,3,6,2,1,4,3,1101,999,2,3,999,9,40,TRUE
8120,1,2,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,3,2,99,0,6,3,1101,999,2,3,999,9,37,TRUE
8121,1,2,1,2,2,2,2,2,1,999,9,5,3,1,999,9,5,3,5,2,99,0,6,4,1101,999,2,3,999,9,68,TRUE
8122,1,4,1,1,2,2,2,2,1,999,9,5,3,1,999,9,2,3,5,4,2,1,1,1,8300,999,2,1,999,9,47,TRUE
8123,1,7,4,2,2,1,2,1,1,999,9,2,3,99,999,9,9,9,7,3,99,0,2,1,1101,999,2,1,999,9,42,TRUE
8124,2,2,2,2,2,2,2,2,1,999,9,5,3,99,999,9,9,9,2,2,99,0,6,4,1101,999,2,3,999,9,65,TRUE
8125,2,4,1,8,2,8,2,8,1,999,9,2,2,99,999,9,9,9,2,3,99,0,6,3,1298,999,2,3,999,9,26,FALSE
8126,2,4,4,2,2,2,2,2,8,999,9,9,9,99,999,9,9,9,4,3,1,0,1,1,8300,999,2,3,999,9,44,TRUE
8127,2,2,1,2,2,2,2,2,1,999,9,2,2,1,999,9,5,3,2,5,3,0,4,3,1101,999,2,1,999,9,39,FALSE
8128,1,2,1,2,2,2,2,2,7,999,9,9,9,8,999,9,9,9,3,4,99,0,6,2,1101,999,2,3,999,9,77,TRUE
8129,1,4,4,2,2,2,2,2,1,999,9,5,2,99,999,9,9,9,1,5,1,0,2,2,1101,999,2,3,999,9,31,TRUE
8130,1,3,4,1,1,2,2,2,6,999,9,9,9,99,999,9,9,9,8,3,99,0,6,4,1101,999,2,3,999,9,28,TRUE
8131,2,1,2,2,2,2,2,2,7,999,9,9,9,99,999,9,9,9,5,2,99,0,4,2,1101,999,2,3,999,9,84,TRUE
8132,1,4,1,2,1,2,2,2,1,999,9,5,3,8,999,9,9,9,4,3,8,0,4,4,1101,999,2,2,999,9,42,FALSE
8133,1,2,1,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,1,4,2,2,1,1,1101,999,2,3,999,9,27,FALSE
8134,2,2,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,2,8,9,3,1,6,1,9600,999,2,3,999,9,30,TRUE
8135,2,4,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,1,1,5,1,0,6,3,1101,999,2,3,999,9,53,TRUE
8136,1,2,1,2,2,2,2,2,1,999,9,5,2,8,999,9,9,9,1,2,99,0,3,1,1101,999,2,3,999,9,39,TRUE
8137,1,3,3,2,2,2,2,2,9,999,9,9,9,99,999,9,9,9,1,2,99,0,4,3,1101,999,2,3,999,9,50,TRUE
8138,2,2,1,2,2,2,2,2,8,999,9,9,9,1,999,9,1,8,1,2,1,0,1,1,1101,999,2,3,999,9,23,FALSE
8139,2,2,1,2,2,2,2,2,1,999,9,2,3,1,999,9,5,1,2,4,1,0,6,3,1101,999,2,1,999,9,80,TRUE
8141,2,3,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,3,4,8,3,3,6,3,1298,999,2,3,999,9,27,FALSE
8142,2,7,4,2,2,2,2,2,1,999,9,5,2,99,999,9,9,9,4,4,99,0,6,4,1101,999,2,1,999,9,34,TRUE
8143,1,96,1,2,2,2,2,2,1,999,9,5,1,1,999,9,5,1,1,4,99,0,2,2,1101,999,2,3,999,9,68,TRUE
8144,2,3,4,2,2,2,2,2,1,999,9,5,3,1,999,9,1,3,2,3,1,0,4,3,1101,999,2,3,999,9,56,TRUE
8145,2,4,1,2,2,2,2,2,1,999,9,1,3,1,999,9,5,3,5,5,2,0,6,3,1298,999,2,3,999,9,40,TRUE
8146,2,96,1,2,2,2,2,2,7,999,9,9,9,99,999,9,9,9,1,2,1,0,4,4,1101,999,2,1,999,9,76,TRUE
8147,1,96,1,2,2,2,2,2,7,999,9,9,9,7,999,9,9,9,4,4,1,1,3,3,1101,999,2,1,999,9,76,TRUE
8148,2,3,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,3,1,3,1,1,6,3,1298,999,2,3,999,9,27,FALSE
8149,1,4,1,2,2,2,2,2,1,999,9,5,3,8,999,9,9,9,2,3,1,0,2,3,1101,999,2,3,999,9,33,TRUE
8150,2,4,1,2,2,2,2,2,1,999,9,5,3,10,999,9,9,9,1,2,99,0,6,3,1298,999,2,4,999,9,43,TRUE
8151,1,4,1,1,1,2,2,2,1,999,9,5,2,8,999,9,9,9,8,3,99,0,4,3,1101,999,2,3,999,9,51,TRUE
8152,1,7,4,2,2,2,2,2,1,999,9,1,3,99,999,9,9,9,5,3,99,0,3,3,1101,999,2,3,999,9,33,TRUE
8153,1,3,4,2,2,2,2,2,10,999,9,9,9,99,999,9,9,9,8,5,2,1,2,2,1101,999,2,1,999,9,25,FALSE
8154,1,1,1,2,2,2,2,2,1,999,9,5,3,8,999,9,9,9,2,5,2,0,3,3,1101,999,2,4,999,9,57,TRUE
8155,1,1,1,2,2,2,2,2,1,999,9,5,1,8,999,9,9,9,8,6,2,2,4,3,1101,999,2,1,999,9,67,TRUE
8156,2,2,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,2,8,4,99,0,4,3,1101,999,2,1,999,9,51,TRUE
8157,2,2,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,3,8,4,1,1,6,4,1101,999,2,1,999,9,63,TRUE
8158,1,7,1,2,2,2,2,2,1,999,9,1,3,8,999,9,9,9,7,3,1,0,2,2,1101,999,2,1,999,9,39,TRUE
8159,2,7,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,5,4,2,1,3,1,1101,999,2,1,999,9,43,TRUE
8160,1,7,1,2,2,2,2,2,1,999,9,4,3,5,999,9,9,9,7,3,1,0,2,2,1101,999,2,3,999,9,43,TRUE
8161,2,7,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,1,8,5,3,2,4,2,1101,999,2,3,999,9,38,TRUE
8162,1,4,1,1,2,2,2,2,1,999,9,2,3,8,999,9,9,9,7,3,1,0,2,1,1101,999,2,3,999,9,41,TRUE
8163,2,1,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,8,3,99,0,4,2,1101,999,2,3,999,9,48,TRUE
8164,1,3,4,2,2,2,2,2,1,999,9,5,3,99,999,9,9,9,8,4,1,0,2,1,8300,999,2,3,999,9,27,FALSE
8165,2,3,1,2,2,2,2,2,1,999,9,2,3,7,999,9,9,9,8,3,99,0,4,3,1298,999,2,1,999,9,60,TRUE
8166,2,3,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,3,8,3,1,1,3,2,1101,999,2,1,999,9,25,FALSE
8167,1,4,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,8,3,99,0,3,1,1101,999,2,3,999,9,25,FALSE
8168,1,2,1,2,2,2,2,2,9,999,9,9,9,8,999,9,9,9,1,2,99,0,4,1,1101,999,2,3,999,9,57,TRUE
8169,2,4,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,3,8,4,99,0,3,2,1101,999,2,3,999,9,62,TRUE
8170,2,7,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,5,4,2,1,2,2,1101,999,2,1,999,9,41,TRUE
8171,2,4,3,2,2,2,2,2,8,999,9,9,9,1,999,9,5,3,1,2,99,0,2,2,1101,999,2,2,999,9,74,TRUE
8172,2,4,1,2,2,2,2,2,1,999,9,2,3,7,999,9,9,9,8,3,1,0,6,4,1298,999,2,2,999,9,55,TRUE
8173,1,4,1,2,2,2,2,2,7,999,9,9,9,8,999,9,9,9,7,3,1,0,6,2,1101,999,2,3,999,9,57,TRUE
8174,2,4,4,2,2,2,2,2,8,999,9,9,9,99,999,9,9,9,7,3,1,0,6,3,1298,999,2,2,999,9,25,FALSE
8175,2,2,1,2,2,2,2,2,1,999,9,2,3,7,999,9,9,9,8,4,1,0,6,3,1298,999,2,3,999,9,51,TRUE
8176,2,4,1,2,2,2,2,2,1,999,9,1,3,1,999,9,5,3,8,3,1,0,6,3,1298,999,2,3,999,9,51,TRUE
8177,1,4,1,2,2,2,2,2,1,999,9,2,3,1,999,9,2,3,8,4,1,0,2,2,1101,999,2,3,999,9,48,TRUE
8178,1,3,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,8,5,2,1,1,2,1101,999,2,3,999,9,25,FALSE
8179,1,4,4,2,2,2,2,2,1,999,9,2,3,99,999,9,9,9,8,3,99,0,2,2,1101,999,2,3,999,9,36,TRUE
8180,2,3,4,2,2,2,2,2,1,999,9,5,1,99,999,9,9,9,1,2,99,0,2,2,1101,999,2,3,999,9,36,TRUE
8181,2,4,4,2,2,2,2,2,8,999,9,9,9,99,999,9,9,9,8,3,99,0,2,1,1101,999,2,3,999,9,26,TRUE
8182,2,2,1,2,2,2,2,2,8,999,9,9,9,1,999,9,5,1,8,5,3,1,2,2,1101,999,2,3,999,9,40,TRUE
8183,1,3,1,2,2,2,2,2,1,999,9,5,3,8,999,9,9,9,8,4,2,1,2,1,1101,999,2,2,999,9,37,TRUE
8184,1,2,1,2,2,2,2,2,1,999,9,5,3,8,999,9,9,9,8,5,99,0,2,2,1101,999,2,1,999,9,66,TRUE
8185,1,96,1,2,2,2,2,2,7,999,9,9,9,7,999,9,9,9,8,2,99,0,4,2,1101,999,2,3,999,9,74,TRUE
8186,2,4,1,2,2,2,2,2,1,999,9,2,2,1,999,9,2,2,5,3,1,0,2,2,1101,999,2,5,999,9,56,TRUE
8187,2,4,1,2,2,2,2,2,8,999,9,9,9,1,999,9,2,2,8,2,99,0,2,1,7100,999,2,3,999,9,32,TRUE
8188,1,96,1,2,2,2,2,2,7,999,9,9,9,7,999,9,9,9,8,2,99,0,2,2,1101,999,2,3,999,9,71,TRUE
8189,1,1,1,2,2,2,2,2,1,999,9,5,1,8,999,9,9,9,7,5,2,0,2,2,1101,999,2,2,999,9,51,TRUE
